code,name,synonyms,unit,tables,comments,examples
"FD","fluoride","fluorine","mcg","USDA 313, SFK, EA, SWD","",""
"FE","iron, total","","mg","USDA 303, SFK, MW, ETH, IND, NE, EA, PRC, DAN, SWD","Includes both haem and non- haem iron.",""
"FERAC","ferulic acid","","mg","SFK","",""
"FIBAD","fibre; determined by acid detergent method","","g","","Includes cellulose, lignin, and some hemicelluloses.",""
"FIBADC","fibre, acid detergent method, Clancy modification.","","g","NZ","",""
"FIBC","fibre, crude","","g","USDA 206, SFK, ETH, EGP","The crude fibre method of fibre analysis is obsolete.",""
"FIBHEX","hexoses in dietary fibre","","g","DAN","",""
"FIBINS","fibre, water-insoluble","","g","SFK, MW","Sum of insoluble components from the AOAC total dietary fibre method; includes primarily lignin, cellulose, and most of the hemicellulose.\nNote# Values for <FIBINS> may also be obtained by subtracting soluble fibre from total dietary fibre, i.e., by subtracting the value of <FIBSOL> from the value of <FIBTG>.",""
"FIBND","fibre; determined by neutral detergent method","","g","USDA 273","Includes lignin, cellulose, and insoluble hemicellulose.",""
"FIBPEN","pentoses in dietary fibre","","g","USDA 223, DAN","",""
"FIBSOL","fibre, water-soluble","","g","SFK","Sum of soluble components from the AOAC total dietary fibre method; includes primarily algal polysaccharides, gums, pectins, and mucilages.",""
"FIBTG","fibre, total dietary; determined gravimetrically by the AOAC total dietary fibre method","","g","SFK","Sum of the water-soluble components and the water-insoluble components of dietary fibre; can be calculated by adding the values of <FIBSOL> and <FIBINS>; includes all non- starch polysaccharides and lignin.",""
"FIBTS","fibre, total dietary; sum of non- starch polysaccharide components and lignin","","g","","Sum of the polysaccharide components of dietary fibre measured sequentially on the same sample (for example, by using the Southgate colorimetric procedure) plus lignin measured gravimetrically.",""
"FIBTSW","fibre, total dietary; Wenlock modification","","g","NZ","",""
"FIB-","fibre; method of determination unknown or variable","","g\nNote# Tagname <FIB-> is used to identify fibre values which represent unknown fibre components or which were obtained by unknown methods or a mixture of methods.","","",""
"FOL","folate, total","folacin; folic acid","mcg","USDA 417, SFK, MW, ETH, IND, EA, DAN, SWD","Includes both conjugated and free folate.",""
"FOLAC","folic acid, synthetic folic acid","","mcg","USDA 431","",""
"FOLFD","folate food, naturally occuring food folates","","mcg","USDA 432","",""
"FOLDFE","folate, dietary folate equivalents","","mcg DFE","USDA 435","folate total = mcg food folate + (1.7 X mcg folic acid)",""
"FOLFRE","folate, free","","mcg","USDA 419, MW, IND, DAN","",""
"FRUFB","fructose in dietary fibre","","mg","","",""
"FRUS","fructose","","g","USDA 212, SFK, DAN, SWD","D-fructose only; includes only the free monosaccharide.",""
"FRUTN","fructan","","g","","",""
"FUCSTR28","28-iso-fucosterol","","mg","","",""
"FUMAC","fumaric acid","","mg","USDA 237, SFK","",""
"GALAAC","galacturonic acid","","mg","USDA 238, SFK","",""
"GALFB","galactose in dietary fibre","","mg","","",""
"GALLAC","gallic acid","","mg","USDA 239, SFK","",""
"GALS","galactose","","g","SFK","Includes only the free monosaccharide.",""
"GALTN","galactan","","g","","",""
"GLN","glutamine","","mg","SFK","Includes only L-glutamine.",""
"GLOB","globulin","","mg","","",""
"GLU","glutamic acid","","mg","USDA 515, SFK, ETH, NE, EA, DAN, SWD","Includes only L-glutamic acid.",""
"GLUAKAC","alpha-keto-glutaric acid","","mg","SFK","",""
"GLUCAC","gluconic acid","","mg","SFK","",""
"GLUCNB","betaglucan","","g","","",""
"GLUFB","glucose in dietary fibre","","mg","","",""
"GLUMN","glucomannan","","g","","",""
"GLUS","glucose","","g","USDA 211, SFK, DAN, SWD","D-glucose only; includes only the free monosaccharide.",""
"GLUTN","gluten","","mg","","",""
"GLY","glycine","","mg","USDA 516, SFK, ETH, NE, EA, DAN, SWD","Includes only L-glycine.",""
"GLYC","glycogen","","g","USDA 272, SFK","",""
"GLYCERA","glycerides, total; determined by analysis","","g","","",""
"GLYCERC","glycerides, total; calculated from fatty acid composition","","g","","",""
"GLYCER-","glycerides, total; method of determination unknown or variable","","g","","",""
"GLYCLAC","glycolic acid","","mg","USDA 240, SFK","",""
"GLYCM","glycogen; expressed in monosaccharide equivalents","","g","","",""
"GLYCTEIN","glycitein","","","","",""
"GLYCTN","glycitin","","mcg","","",""
"GLYCTNA","acetyl-glycitin","","mcg","","",""
"GLYCTNM","malonyl-glycitin","","mcg","","",""
"GLYLIP","glycolipids, total","","g","USDA 604","",""
"GLYRL","glycerol","","mg","SFK","",""
