code,name,synonyms,unit,tables,comments,examples
"AAA","amino acids, total aromatic","","mg","USDA 523, EA, SWD","The total value is the sum of phenylalanine plus tyrosine only, in spite of the fact that tryptophan is also chemically aromatic.",""
"AAE8","amino acids, total essential; includes the eight basic essential amino acids: isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, and valine","","mg","","These eight amino acids are included in all definitions of the essential amino acids for man.",""
"AAE10A","amino acids, total essential; includes the eight basic essential amino acids plus arginine and histidine","","mg","","Arginine and histidine are included in this definition of essential amino acids because they are essential for infants.",""
"AAE10B","amino acids, total essential; includes the eight basic essential amino acids plus cystine and tyrosine","","mg","MW","Cystine and tyrosine are included in this definition of essential amino acids because of their sparing effects on the requirements for methionine and phenylalanine respectively.",""
"AAE12","amino acids, total essential; includes the eight basic essential amino acids plus arginine, histidine, cystine, and tyrosine","","mg","ETH, NE, EA","Arginine and histidine are included in this definition of essential amino acids because they are essential for infants. Cystine and tyrosine are included because of their sparing effects on the requirements for methionine and phenylalanine respectively.",""
"AAE-","amino acids, total essential; unknown or variable which amino acids are included in the total","","mg","","",""
"AAS","amino acids, total sulphur-containing","","mg","USDA 522, NE, EA, SWD","The total value is the sum of cystine plus methionine.",""
"AAT-","amino acids, total, precise definition not specified","","mg","SFK, ETH, NE, EA","When total amino acids are reported, they are usually the sum of whatever amino acids were analysed for that particular food. Consequently, this term is not precisely defined. Additional tagnames will be introduced when precise definitions exist. See page ? for additional discussion.",""
"ACEAC","acetic acid","","mg","USDA 230, SFK","",""
"AG","silver","","mcg","USDA 378","",""
"AGAR","agar-agar","agar","g","","",""
"AL","aluminium","aluminum","mcg","USDA 348, SFK","",""
"ALA","alanine","","mg","USDA 513, SFK, ETH, NE, EA, DAN, SWD","Includes only L-alanine.",""
"ALBU","albumin","","mg","","",""
"ALC","alcohol","ethanol; ethyl alcohol","g","USDA 221, MW, DAN","",""
"ALGL","albumin and globulin","","mg","SFK","",""
"ALGNT","alginates","","g","","",""
"AMMON","ammonia","","mg","USDA 519","",""
"AMYP","amylopectin","","g","USDA 219","",""
"AMYPM","amylopectin; expressed in monosaccharide equivalents","","g","","",""
"AMYS","amylose","","g","","",""
"AMYSM","amylose; expressed in monosaccharide equivalents","","g","","",""
"ARAFB","arabinose in dietary fibre","","mg","","",""
"ARAN","arabinan","","g","","",""
"ARAS","arabinose","","g","SFK","L-arabinose only; includes only the free monosaccharide.",""
"ARG","arginine","","mg","USDA 511, SFK, ETH, NE, EA, DAN, SWD","Includes only L-arginine.",""
"AS","arsenic","","mcg","USDA 350","",""
"ASCL","L-ascorbic acid","","mg","USDA 402, SWD","",""
"ASCDL","L-dehydroascorbic acid","","mg","","",""
"ASH","ash","minerals","g","USDA 207, SKF, ETH, EGP, IND, NE, EA, PRC, DAN, SWD","",""
"ASN","asparagine","","mg","USDA 525, SFK","Includes only L-asparagine.",""
"ASP","aspartic acid","","mg","USDA 514, SFK, ETH, NE, EA, DAN, SWD","Includes only L-aspartic acid.",""
"AU","gold","","mcg","USDA 363","",""
"AVED5","delta 5-avenasterol","delta 5-avenastenol","mg","USDA 649, SFK, FRN","",""
"AVED7","delta 7-avenasterol","avenasterol; delta 7-avenastenol","mg","USDA 648, SFK, FRN","",""
"B","boron","","mcg","USDA 354, SFK, PRC","",""
"BA","barium","","mcg","USDA 351","",""
"BENAC","benzoic acid","","mg","USDA 232, SFK","",""
"BETN","Betaine","","","","",""
"BIOT","biotin","vitamin H","mcg","USDA 416, SFK, MW, DAN, SWD","",""
"BRASTR","brassicasterol","","mg","USDA 640, SFK, FRN","",""
"BRD","bromide","","mcg","NZ","",""
"CA","calcium","","mg","USDA 301, SFK, MW, ETH, EGP, IND, NE, EA, PRC, DAN, SWD","",""
"CAFFN","caffeine","","mg","USDA 262, SFK","",""
"CAMD5","delta 5-campesterol","campesterol; delta 5- campestenol","mg","USDA 639, SFK, FRN","",""
"CAMD7","delta 7-campesterol","delta 7-campestenol","mg","FRN","",""
"CARGN","carageenan","","g","","",""
"CAROT","carotene, total","vitamin A precursors","mcg","SFK, MW, PRC","All-trans carotene only.",""
"CARTA","alpha-carotene","","mcg","USDA 322","All-trans alpha-carotene only.",""
"CARTB","beta-carotene","","mcg","USDA 321, DAN","All-trans beta-carotene only.",""
"CARTBEQ","beta-carotene equivalents","provitamin A carotenoids","mcg","USDA 320, NE, EA","This value is the sum of the beta-carotene plus � the quantity of the other carotenoids with vitamin A activity.",""
"CARTG","gamma-carotene","","mcg","USDA 332","All-trans gamma-carotene only.",""
"CASN","casein","","mg","SFK","",""
"CD","cadmium","","mcg","USDA 356","",""
"CELLU","cellulose","","g","USDA 225, SFK, DAN, SWD","",""
"CELLO","cellobiose","","g","","",""
"CHLNP","phosphatidyl choline","lecithin","g","USDA 662, SFK","",""
"CHLRAC","chlorogenic acid","","mg","USDA 234, SFK","",""
"CHOAVL","carbohydrate, available","","g","SFK","This value includes the free sugars plus dextrins, starch, and glycogen.",""
"CHOAVLM","carbohydrate, available; expressed in monosaccharide equivalents","","g","MW","This value includes the free sugars plus dextrins, starch, and glycogen.",""
"CHOCAL","cholecalciferol","vitamin D-3","mcg","DAN","Naturally occurring form.",""
"CHOCDF","carbohydrate, total; calculated by difference","","g","USDA 205, ETH, EGP, IND, NE, EA, DAN, SWD","This value is calculated using the following formula: 100 g minus total grams of water, protein, fat, and ash Note# This is not the preferred method of calculating total carbohydrate. Calculation by summation is preferred.",""
"CHOCSM","carbohydrate, total; calculated by summation","","g","USDA 254","This value is the sum of the sugars, starches, oligosaccharides, and carbohydrate dietary fibre.",""
"CHOLC","cholesterol; determined by chemical method (classical)","","mg","","",""
"CHOLE","cholesterol; determined by enzymatic or chromatographic method","","mg","MW","",""
"CHOLM","24-methylcholest-7-erol","","mg","USDA 651, SFK, FRN","",""
"CHOLME","24-methylene cholesterol","","mg","","",""
"CHOLN","choline, total","","mg","USDA 421, SFK, IND","",""
"CHOLNF","choline, free","","","USDA 450","",""
"CHOLNGPC","Choline from glycerophosphocholine","","","","",""
"CHOLNPC","Choline from phosphocholine","","","","",""
"CHOLNPTC","choline from phosphatidylcholine Units: mg","","","","",""
"CHOLNSM","Choline from sphingomyelin","","","","",""
"CHOL-","cholesterol; method of determination unknown or variable","","mg","","",""
"CHO-","carbohydrate, total; method of determination unknown or variable","","g","","",""
"CITAC","citric acid","","mg","USDA 236, SFK","",""
"CLD","chloride","chlorine","mg\nNote# If the value is expressed in millimoles, mmol must be explicitly stated with the secondary tagname <UNIT/>.","USDA 302, SFK, MW, IND, PRC","",""
"CO","cobalt","","mcg","USDA 311, SFK, IND, EA, PRC","",""
"COLG","collagen","","mg","","",""
"CONPRO","connective tissue protein","","mg","SFK","This term is not precisely defined in the table in which it appears. The tagname should be construed as ``connective tissue protein as the term is used by Souci- Fachmann-Kraut''.",""
"CR","chromium","","mcg","USDA 310, SFK, DAN, SWD","",""
"CREATN","creatinine","","mg","SFK","",""
"CRYPX","cryptoxanthin","","mcg","USDA 334","",""
"CU","copper","","mg","USDA 312, SFK, MW, EA, PRC, DAN, SWD","",""
"CYAN","Cyanide","","","NZ","",""
"CYS","cystine","","mg","USDA 507, SFK, ETH, NE, EA, DAN, SWD","Cysteine is often the natural form, which is converted to cystine during chromatography; includes only the L-amino acid.",""
"DAIDZN","daidzin","","mcg","","",""
"DAIDZNA","acetyl-daidzin","","mcg","","",""
"DAIDZNM","malonyl-daidzin","","mcg","","",""
"DDZEIN","daidzein","","mcg","","",""
"DEXTN","dextrins","","g","SFK","",""
"DEXTNM","dextrins; expressed in monosaccharide equivalents","","g","MW","",""
"DGLY","diglycerides, total","","g","USDA 656","",""
"DISAC","disaccharides, total","","g","","",""
"DISACM","disaccharides, total; expressed in monosaccharide equivalents","","g","","",""
"DM","dry matter","","g","","",""
"DOPN","dopamine","","mg","SFK","",""
"ENERA","energy, gross; determined by direct analysis using bomb calorimetry","kilojoules; kilocalories; Calories; food energy","kJ. The value for <ENERA> may be expressed in kilocalories instead of the default unit of kilojoules. However, if expressed in kilocalories, kcal must be explicitly stated with the secondary tagname <UNIT/>.\nNote# It would be confusing and would imply additional information that does not exist if two <ENERA> values, i.e., one expressed in kilocalories and the other expressed in kilojoules, were included for a single food item when one value has simply been calculated from the other using the conversion equation: 1 kcal = 4.184 kJ. Consequently, one or the other should be used, but not both.","","",""
"ENERC","energy, total metabolizable; calculated from the energy-producing food components","kilojoules; kilocalories; Calories; food energy","kJ. The value for <ENERC> may be expressed in kilocalories instead of the default unit of kilojoules. However, if expressed in kilocalories, kcal must be explicitly stated with the secondary tagname <UNIT/>.\nNote# It would be confusing and would imply additional information that does not exist if two <ENERC> values, i.e., one expressed in kilocalories and the other expressed in kilojoules, were included for a single food item when one value has simply been calculated from the other using the conversion equation: 1 kcal = 4.184 kJ. Consequently, one or the other should be used, but not both.","MW, EGP, IND, USDA 208 and 268, ETH, NE, EA","In addition to a value for the quantity of total metabolizable energy, <ENERC> includes a description or listing of the conversion factors used to calculate this energy value from the proximate quantities. The conversion factors may be described by a keyword, or the conversion factors may be listed using secondary tagnames within <ENERC>. (More than one <ENERC> tagname may exist for a single food item if the values were calculated from the proximate components using different conversion factors.)","The 76 kcal/100 g energy value for whole cow's milk in the Ethiopian food table was calculated from proximate values using conversion factors from the USDA Agriculture Handbook No. 8. Therefore, the energy value would be listed using the <ENERC> tagname and the USDA keyword, with the kilocalorie unit stated with the secondary tagname <UNIT/> to replace the default unit of kilojoules:\n<ENERC> 76 USDA <UNIT/> kcal </UNIT/> </ENERC>\n\nThe 272 kJ/100 g energy value for fresh, whole cow's milk in the McCance and Widdowson food table was calculated with the kilojoule conversion factors that use available carbohydrate. Therefore, the energy value would be listed using the <ENERC> tagname and the KJA keyword:\n<ENERC> 272 KJA </ENERC>\n\nIf an energy value expressed in kilocalories were calculated for whole cow's milk using conversion factors for protein, fat, and total carbohydrate, and these conversion factors did not conform to any of the factors described by the available keywords, the energy value would be listed using the <ENERC> tagname and the <XP>, <XF> and <XCT> secondary tagnames. The kilocalorie unit would be stated with the secondary tagname <UNIT/> to replace the default unit of kilojoules:\n<ENERC> 76.42 <XP> 4.3 <XF> 8.8 <XCT> 3.9 <UNIT/> kcal </UNIT/> </ENERC>\nNote# In these examples, </UNIT/> and </ENERC> are end-tags required in interchange format to indicate the end of the unit and energy information. See the INFOODS Data Interchange Handbook for details on interchange format."
"ENER-","energy; method of determination unknown or variable","kilojoules; kilocalories; Calories; food energy","kJ. The value for <ENER-> may be expressed in kilocalories instead of the default unit of kilojoules. However, if expressed in kilocalories, kcal must be explicitly stated with the secondary tagname <UNIT/>.\nNote# It would be confusing and would imply additional information that does not exist if two <ENER-> values, i.e., one expressed in kilocalories and the other expressed in kilojoules, were included for a single food item when one value has simply been calculated from the other using the conversion equation: 1 kcal = 4.184 kJ. Consequently, one or the other should be used, but not both.","","The <ENER-> tagname should be used if it is not known whether the energy value represents gross energy or total metabolizable energy. It should also be used if it is known that the energy value was calculated from the proximate components but the conversion factors used are unknown. (It is meaningless to have <ENER-> in combination with either <ENERA> or <ENERC> for a given food item.)",""
"ERGCAL","ergocalciferol","vitamin D-2","mcg","","",""
"ETHAM","ethanolamines, total","","g","SFK","",""
"F4D0","fatty acid 4:0","butyric acid; tetranoic acid; butanoic acid","g","USDA 607, SFK, FRN, DAN, SWD","",""
"F5D0","fatty acid 5:0","","g","","",""
"F6D0","fatty acid 6:0","caproic acid; hexanoic acid","g","USDA 608, SFK, PRC, FRN, DAN, SWD","",""
"F8D0","fatty acid 8:0","caprylic acid; octanoic acid","g","USDA 609, SFK, PRC, FRN, DAN, SWD","",""
"F10D0","fatty acid 10:0","capric acid; decanoic acid","g","USDA 610, SFK, PRC, FRN, DAN, SWD","",""
"F12D0","fatty acid 12:0","lauric acid; dodecanoic acid","g","USDA 611, SFK, NE, PRC, FRN, DAN, SWD","",""
"F13D0","fatty acid 13:0","tridecanoic acid","g","USDA 696, FRN","",""
"F14D0","fatty acid 14:0","myristic acid; tetradecanoic acid","g","USDA 612, SFK, NE, PRC, FRN, DAN, SWD","",""
"F15D0","fatty acid 15:0","pentadecylic acid; pentadecanoic acid","g","USDA 652, PRC, FRN, DAN","",""
"F16D0","fatty acid 16:0","palmitic acid; hexadecanoic acid","g","USDA 613, SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F17D0","fatty acid 17:0","margaric acid; heptadecanoic acid","g","USDA 653, SFK, PRC, FRN, DAN","",""
"F18D0","fatty acid 18:0","stearic acid; octadecanoic acid","g","USDA 614, SFK, NE, EA, PRC, FRN, DAN, SWD","",""
"F19D0","fatty acid 19:0","","g","","",""
"F20D0","fatty acid 20:0","arachidic acid; eicosanoic acid","g","USDA 615, SFK, PRC, FRN, DAN, SWD","",""
"F21D0","fatty acid 21:0","","g","","",""
"F22D0","fatty acid 22:0","behenic acid; docosanoic acid","g","USDA 624, SFK, PRC, FRN, DAN, SWD","",""
"F23D0","fatty acid 23:0","tricosanoic acid","g","FRN","",""
"F24D0","fatty acid 24:0","lignoceric acid; tetracosanoic acid","g","USDA 654, SFK, FRN","",""
"F10D1","fatty acid 10:1","","","NZ","",""
"F12D1","fatty acid 12:1","lauroleic acid","g","FRN","",""
"F14D1","fatty acid 14:1","myristoleic acid; tetradecenoic acid","g","USDA 625, PRC, FRN, DAN","",""
"F15D1","fatty acid 15:1","pentadecenoic acid","g","FRN, DAN","",""
"F15D1N9","fatty acid 15:1 n-9","","g","","",""
"F16D1","fatty acid 16:1","palmitoleic acid; hexadecenoic acid","g","USDA 626, SFK, NE, PRC, FRN, DAN, SWD","",""
"F16D1C","fatty acid cis 16:1","","g","USDA 673","",""
"F16D1T","fatty acid trans 16:1","","g","USDA 662","",""
"F17D1","fatty acid 17:1","heptadecenoic acid","g","USDA 687, FRN, DAN","",""
"F18D1","fatty acid 18:1","oleic acid; octadecenoic acid","g","USDA 617, FRN, DAN, SWD","",""
"F18D1C","fatty acid cis 18:1","","g","USDA 674","",""
"F18D1N7","fatty acid 18:1 n-7","","g","NZ","",""
"F18D1N9","fatty acid 18:1 n-9","","g","NZ","",""
"F18D1CN9","fatty acid 18:1 cis n-9","","g","","",""
"F18D1T","fatty acid trans 18:1","","g","USDA 663","",""
